Age,Gender,Weight_kg,Height_cm,BMI,Sleep_hrs,Activity_Level,Water_Intake_L,Protein_g,Carbs_g,Fat_g,Fitness_Goal,Calories_kcal,Estimated_Maintenance_Calories,Caloric_Surplus_or_Deficit
33,Male,84.2,171.5,28.62,5.4,Sedentary,2.53,101,222,48,Weight Loss,1724,2104.65,-380.6500000000001
58,Female,74.4,156.5,30.38,6.6,Active,2.78,89,400,72,Weight Loss,2610,2192.690625,417.3093749999998
19,Female,63.2,168.0,22.4,7.9,Sedentary,2.39,76,143,32,Weight Loss,1169,1711.2,-542.2
25,Male,86.0,179.6,26.68,6.9,Moderate,1.53,103,447,81,Maintenance,2934,2886.875,47.125
58,Female,61.8,154.0,26.05,9.3,Moderate,2.57,99,352,67,Muscle Gain,2407,1750.725,656.2749999999999
47,Female,64.7,161.5,24.81,5.6,Active,2.48,78,430,75,Maintenance,2706,2174.146875,531.8531250000001
52,Female,63.5,161.9,24.23,9.1,Sedentary,3.27,102,269,55,Muscle Gain,1977,1471.05,505.9500000000001
38,Female,55.5,158.3,22.13,5.9,Moderate,3.19,67,288,53,Maintenance,1892,1849.73125,42.26874999999996
43,Female,70.5,167.2,25.22,7.5,Moderate,4.43,85,366,67,Maintenance,2405,2129.7000000000003,275.2999999999997
25,Male,81.5,181.7,24.7,7.0,Active,2.23,98,541,95,Maintenance,3407,3157.828125,249.171875
39,Female,47.0,164.1,17.43,6.6,Moderate,2.72,75,281,53,Muscle Gain,1901,1766.41875,134.58124999999995
57,Male,76.9,160.8,29.72,6.2,Moderate,3.33,92,305,59,Weight Loss,2121,2315.7000000000003,-194.70000000000027
18,Female,59.3,152.7,25.41,6.2,Sedentary,3.46,71,128,30,Weight Loss,1064,1555.65,-491.6499999999999
29,Male,77.3,166.7,27.81,6.5,Sedentary,3.05,93,290,57,Maintenance,2040,2009.85,30.15000000000009
27,Male,82.6,175.0,26.95,7.3,Moderate,2.96,99,429,78,Maintenance,2815,2774.1125,40.88749999999982
29,Female,52.1,171.5,17.71,6.5,Moderate,2.6,63,271,49,Maintenance,1777,1994.65625,-217.65625
43,Male,87.8,167.1,31.44,6.9,Sedentary,2.25,105,329,64,Maintenance,2318,2054.85,263.1500000000001
27,Female,47.0,172.1,15.88,7.2,Moderate,3.04,75,282,53,Muscle Gain,1903,1936.91875,-33.918750000000045
30,Male,82.9,169.0,29.04,7.4,Moderate,2.44,99,431,79,Maintenance,2827,2697.3875000000003,129.61249999999973
64,Male,96.4,182.9,28.84,8.8,Sedentary,2.7,154,379,79,Muscle Gain,2846,2150.55,695.4500000000003
61,Female,62.5,162.3,23.71,5.4,Moderate,2.54,75,231,45,Weight Loss,1631,1818.73125,-187.73125000000005
62,Female,58.2,168.9,20.39,7.3,Active,3.24,93,419,76,Muscle Gain,2732,2012.428125,719.5718749999999
36,Female,54.0,161.9,20.6,8.3,Sedentary,2.89,65,202,40,Maintenance,1425,1453.05,-28.049999999999955
42,Male,79.6,172.6,26.71,7.2,Active,2.51,95,434,79,Weight Loss,2826,2880.3187500000004,-54.31875000000037
52,Female,63.7,159.2,25.16,8.4,Sedentary,2.15,76,145,33,Weight Loss,1183,1453.2,-270.20000000000005
33,Female,69.8,161.3,26.82,6.2,Moderate,2.58,84,269,52,Weight Loss,1881,2139.19375,-258.1937499999999
44,Female,77.0,164.1,28.61,7.7,Moderate,3.24,123,425,81,Muscle Gain,2926,2192.6687500000003,733.3312499999997
47,Female,59.7,161.6,22.89,6.9,Active,3.12,96,429,78,Muscle Gain,2797,2088.975,708.0250000000001
18,Male,94.1,177.4,29.91,5.6,Moderate,2.18,151,507,97,Muscle Gain,3509,3045.3625,463.6374999999998
18,Female,66.1,162.7,24.97,7.2,Sedentary,3.52,79,248,48,Maintenance,1745,1712.25,32.75
29,Male,100.4,171.1,34.31,7.2,Moderate,2.52,161,538,103,Muscle Gain,3723,2996.7312500000003,726.2687499999997
35,Female,45.7,154.9,19.04,8.0,Active,2.67,55,303,53,Maintenance,1910,1878.740625,31.259374999999864
21,Male,73.6,183.5,21.85,7.4,Moderate,1.81,88,288,56,Weight Loss,2008,2763.45625,-755.4562500000002
40,Male,65.6,177.6,20.81,6.6,Sedentary,2.26,79,246,48,Maintenance,1732,1885.2,-153.19999999999982
22,Male,62.0,166.0,22.48,6.6,Sedentary,2.09,74,232,45,Maintenance,1636,1863.0,-227.0
64,Female,63.7,157.8,25.59,6.3,Active,2.79,102,454,82,Muscle Gain,2963,1970.38125,992.61875
31,Female,72.9,152.9,31.19,7.0,Moderate,2.98,117,406,77,Muscle Gain,2787,2121.36875,665.6312499999999
55,Female,63.6,152.4,27.41,6.2,Sedentary,2.32,76,239,47,Maintenance,1680,1383.0,297.0
37,Male,71.1,159.8,27.85,8.5,Moderate,3.49,85,369,67,Maintenance,2424,2371.1125,52.88749999999982
54,Male,61.9,184.8,18.13,6.3,Moderate,2.26,74,322,59,Maintenance,2111,2338.9500000000003,-227.95000000000027
26,Male,66.7,175.3,21.69,7.2,Moderate,2.64,107,376,72,Muscle Gain,2574,2538.31875,35.68125000000009
55,Female,63.7,165.2,23.33,6.2,Moderate,1.6,76,331,60,Maintenance,2171,1911.925,259.07500000000005
29,Female,54.8,163.6,20.47,6.9,Sedentary,2.3,66,205,40,Maintenance,1446,1517.4,-71.39999999999986
40,Male,77.3,165.2,28.32,9.4,Moderate,2.2,93,308,59,Weight Loss,2136,2496.275,-360.2750000000001
48,Female,62.7,163.0,23.6,7.3,Sedentary,2.29,75,141,32,Weight Loss,1156,1493.7,-337.70000000000005
54,Male,85.3,178.8,26.7,5.0,Moderate,2.0,102,443,81,Maintenance,2910,2643.525,266.4749999999999
55,Male,90.1,158.7,35.77,7.2,Moderate,1.73,108,468,85,Maintenance,3073,2515.45625,557.5437499999998
20,Female,71.2,153.1,30.34,6.5,Sedentary,2.7,114,295,61,Muscle Gain,2178,1689.45,488.55
54,Male,78.9,171.5,26.81,4.8,Sedentary,2.84,126,320,66,Muscle Gain,2382,1915.05,466.9500000000001
32,Female,65.0,159.3,25.61,5.4,Sedentary,2.64,104,274,56,Muscle Gain,2016,1589.55,426.4500000000001
28,Female,64.6,161.3,24.82,7.9,Sedentary,2.03,78,242,47,Maintenance,1706,1623.75,82.25
21,Female,67.4,169.2,23.53,6.4,Moderate,2.25,81,256,50,Weight Loss,1798,2271.525,-473.5250000000001
40,Female,66.2,177.2,21.07,6.0,Moderate,1.67,79,250,49,Weight Loss,1757,2183.175,-426.1750000000002
28,Female,68.5,161.6,26.21,7.5,Moderate,1.74,110,384,73,Muscle Gain,2634,2160.7000000000003,473.2999999999997
41,Female,56.4,168.2,19.93,9.3,Sedentary,1.69,68,118,27,Weight Loss,989,1499.1,-510.0999999999999
57,Female,62.5,177.4,19.84,9.6,Sedentary,1.95,100,266,54,Muscle Gain,1949,1545.3,403.7000000000001
31,Male,93.2,176.6,29.86,6.4,Moderate,2.39,112,484,88,Maintenance,3177,2922.9125,254.0875000000001
27,Female,51.4,167.0,18.43,7.7,Moderate,1.94,62,173,35,Weight Loss,1252,1955.7125,-703.7125000000001
64,Female,63.4,167.8,22.52,5.3,Moderate,2.05,101,360,68,Muscle Gain,2461,1862.7125,598.2874999999999
27,Male,92.6,163.3,34.74,5.4,Active,2.8,148,634,116,Muscle Gain,4173,3133.6781250000004,1039.3218749999996
55,Male,87.5,170.6,30.07,7.3,Active,2.52,105,487,88,Weight Loss,3158,2882.90625,275.09375
49,Female,61.5,159.8,24.1,5.7,Sedentary,2.55,74,231,45,Maintenance,1625,1449.3,175.70000000000005
28,Male,88.1,175.8,28.5,6.4,Active,2.66,106,585,102,Maintenance,3683,3182.1937500000004,500.8062499999997
44,Male,90.7,186.3,26.12,6.4,Moderate,2.51,109,377,72,Weight Loss,2593,2877.38125,-284.3812499999999
18,Male,67.4,176.3,21.7,7.6,Sedentary,1.62,81,253,49,Maintenance,1781,2029.05,-248.04999999999995
64,Male,73.8,162.7,27.86,7.4,Moderate,1.98,89,289,56,Weight Loss,2015,2231.80625,-216.8062500000001
26,Male,71.7,176.3,23.06,7.6,Moderate,2.99,86,372,68,Maintenance,2443,2625.50625,-182.5062499999999
29,Female,60.0,157.6,24.15,8.1,Active,2.56,72,305,56,Weight Loss,2009,2206.275,-197.2750000000001
38,Male,84.3,180.6,25.84,7.1,Moderate,2.31,135,460,88,Muscle Gain,3175,2769.4625,405.5374999999999
24,Female,59.8,150.3,26.46,7.7,Sedentary,2.9,96,256,52,Muscle Gain,1878,1507.65,370.35000000000014
52,Male,69.8,181.6,21.18,6.0,Sedentary,3.14,84,262,51,Maintenance,1844,1893.6,-49.59999999999991
61,Male,78.2,184.3,23.01,6.8,Moderate,3.0,94,406,74,Maintenance,2666,2532.50625,133.4937500000001
51,Female,62.4,166.3,22.56,9.3,Moderate,2.32,100,355,67,Muscle Gain,2427,1933.43125,493.5687499999999
64,Female,60.4,157.2,24.45,7.8,Moderate,2.27,72,314,57,Maintenance,2059,1713.525,345.4749999999999
54,Female,63.9,161.8,24.4,6.8,Moderate,2.09,77,332,61,Maintenance,2178,1889.8375,288.1624999999999
63,Male,77.1,180.8,23.57,7.6,Active,2.25,123,537,98,Muscle Gain,3522,2744.4750000000004,777.5249999999996
51,Male,74.0,172.1,24.97,9.5,Active,2.73,118,518,94,Muscle Gain,3392,2700.703125,691.296875
59,Male,106.7,162.2,40.55,6.9,Active,3.06,171,722,132,Muscle Gain,4759,3089.0437500000003,1669.9562499999995
45,Male,74.7,170.8,25.61,6.0,Active,2.07,90,402,73,Weight Loss,2622,2750.5125000000003,-128.51250000000027
22,Female,57.0,162.3,21.63,7.0,Active,3.02,68,284,52,Weight Loss,1881,2265.571875,-384.5718750000001
20,Female,52.9,169.9,18.33,7.8,Moderate,2.75,64,181,36,Weight Loss,1305,2061.30625,-756.3062500000001
59,Male,68.7,177.2,21.87,7.2,Sedentary,2.42,110,286,59,Muscle Gain,2114,1805.4,308.60000000000014
19,Female,72.2,162.2,27.46,7.8,Sedentary,1.82,87,177,39,Weight Loss,1407,1775.7,-368.7000000000001
52,Male,68.3,172.3,23.01,7.8,Sedentary,2.84,82,256,50,Maintenance,1803,1805.85,-2.849999999999909
53,Female,58.8,160.9,22.7,6.4,Moderate,2.69,71,211,42,Weight Loss,1504,1809.81875,-305.81875000000014
28,Male,86.3,171.9,29.21,7.1,Active,3.08,104,479,86,Weight Loss,3106,3109.096875,-3.096875000000182
19,Female,67.8,157.7,27.3,5.2,Sedentary,2.22,109,284,58,Muscle Gain,2091,1689.15,401.85000000000014
55,Female,56.6,157.7,22.77,7.3,Sedentary,2.73,68,212,42,Maintenance,1495,1338.75,156.25
24,Female,64.6,156.3,26.43,6.3,Sedentary,3.4,103,273,56,Muscle Gain,2005,1610.25,394.75
39,Female,66.5,152.5,28.62,6.5,Moderate,1.29,80,345,63,Maintenance,2268,1956.29375,311.70624999999995
28,Female,65.4,166.7,23.53,9.4,Moderate,2.49,78,246,48,Weight Loss,1730,2162.05625,-432.0562500000001
27,Male,67.2,175.4,21.83,7.9,Active,2.78,81,352,64,Weight Loss,2309,2825.9812500000003,-516.9812500000003
61,Male,67.0,176.9,21.41,7.7,Moderate,2.7,80,254,50,Weight Loss,1785,2287.21875,-502.21875
37,Female,57.7,168.3,20.38,7.4,Sedentary,3.59,92,250,51,Muscle Gain,1824,1539.45,284.54999999999995
28,Female,74.5,165.9,27.08,7.6,Moderate,2.69,89,387,71,Maintenance,2542,2295.3562500000003,246.64374999999973
49,Male,74.0,195.8,19.32,7.6,Moderate,1.99,89,291,56,Weight Loss,2025,2671.8125,-646.8125
32,Male,58.3,173.2,19.44,5.4,Active,3.5,93,420,76,Muscle Gain,2738,2605.6125,132.38749999999982
53,Female,57.4,152.2,24.79,6.4,Moderate,2.7,92,331,63,Muscle Gain,2258,1703.8375,554.1624999999999
47,Female,56.6,158.7,22.48,6.8,Active,3.03,68,282,52,Weight Loss,1867,2004.234375,-137.234375
42,Male,77.8,170.2,26.84,8.7,Moderate,3.27,93,404,74,Maintenance,2651,2536.9625,114.03749999999992
40,Male,72.3,164.1,26.84,5.4,Sedentary,2.29,87,177,39,Weight Loss,1408,1864.35,-456.3499999999999
37,Male,58.9,184.8,17.25,7.2,Moderate,3.04,71,306,56,Maintenance,2010,2424.2000000000003,-414.2000000000003
31,Female,56.5,162.3,21.45,7.1,Active,1.5,68,281,52,Weight Loss,1862,2179.321875,-317.3218750000001
41,Female,66.0,152.7,28.3,6.3,Moderate,2.75,79,343,63,Maintenance,2252,1934.98125,317.01874999999995
25,Male,69.1,171.8,23.4,7.2,Active,2.58,83,365,66,Weight Loss,2387,2837.1937500000004,-450.1937500000004
44,Female,65.6,163.2,24.63,7.3,Moderate,2.12,79,247,48,Weight Loss,1737,2007.25,-270.25
23,Female,58.8,166.8,21.14,8.2,Active,2.85,94,423,77,Muscle Gain,2758,2336.5125000000003,421.4874999999997
36,Female,67.6,165.6,24.66,5.7,Moderate,1.68,81,351,64,Maintenance,2305,2123.5,181.5
46,Male,72.0,164.1,26.71,6.3,Moderate,3.63,86,280,54,Weight Loss,1954,2356.96875,-402.96875
43,Male,76.7,163.6,28.67,8.3,Moderate,2.54,92,398,73,Maintenance,2616,2448.225,167.7750000000001
64,Female,74.2,154.9,30.95,9.0,Sedentary,2.64,89,278,54,Maintenance,1960,1474.95,485.05
33,Female,58.2,163.5,21.75,7.3,Moderate,2.7,93,335,63,Muscle Gain,2283,1980.70625,302.29375000000005
59,Male,73.5,169.2,25.66,7.2,Active,3.63,88,488,85,Maintenance,3072,2591.8125,480.1875
26,Female,65.8,155.6,27.17,8.1,Moderate,2.04,105,372,71,Muscle Gain,2544,2076.225,467.7750000000001
56,Female,64.2,158.0,25.74,6.6,Moderate,2.73,77,334,61,Maintenance,2190,1842.175,347.82500000000005
54,Female,75.0,169.3,26.15,6.2,Moderate,3.32,90,296,57,Weight Loss,2057,2134.5437500000003,-77.54375000000027
56,Male,69.8,182.3,21.0,8.1,Moderate,3.36,84,363,66,Maintenance,2380,2421.68125,-41.68125000000009
50,Female,52.2,158.1,20.89,8.0,Sedentary,2.55,63,196,38,Maintenance,1378,1318.95,59.04999999999996
61,Male,62.7,166.8,22.53,6.3,Moderate,2.47,100,357,68,Muscle Gain,2437,2122.725,314.2750000000001
22,Female,54.6,165.2,20.01,8.3,Sedentary,1.89,66,205,40,Maintenance,1442,1569.0,-127.0
33,Male,72.2,168.6,25.39,6.4,Active,2.64,87,385,70,Weight Loss,2517,2787.1687500000003,-270.1687500000003
25,Female,64.9,158.8,25.72,6.2,Active,1.83,104,461,84,Muscle Gain,3013,2338.2375,674.7624999999998
44,Female,49.1,162.4,18.63,7.4,Active,3.2,59,232,43,Weight Loss,1553,1940.625,-387.625
59,Female,62.2,146.9,28.83,6.6,Moderate,2.27,75,323,59,Maintenance,2122,1680.39375,441.6062500000001
38,Male,76.2,180.0,23.52,7.3,Moderate,2.44,91,396,72,Maintenance,2598,2638.1,-40.09999999999991
30,Male,73.1,170.7,25.09,5.2,Sedentary,2.18,88,180,40,Weight Loss,1431,1983.45,-552.4499999999998
46,Female,55.7,163.7,20.77,6.8,Sedentary,3.25,67,209,41,Maintenance,1469,1426.95,42.04999999999996
28,Female,73.0,165.9,26.53,6.2,Sedentary,2.22,88,274,54,Maintenance,1927,1759.05,167.95000000000005
21,Female,69.3,152.8,29.68,5.6,Moderate,2.39,83,360,66,Maintenance,2363,2142.1,220.9000000000001
45,Male,74.3,165.8,27.02,7.4,Moderate,3.18,119,412,79,Muscle Gain,2832,2416.8375,415.1624999999999
56,Female,70.3,152.8,30.09,5.6,Active,2.12,84,466,82,Maintenance,2937,2099.3250000000003,837.6749999999997
43,Female,52.1,166.4,18.82,7.5,Active,2.58,63,346,60,Maintenance,2178,2044.125,133.875
46,Female,60.7,164.0,22.57,5.5,Sedentary,2.36,97,259,53,Muscle Gain,1902,1489.2,412.8
40,Female,62.5,154.9,26.06,6.6,Moderate,2.59,75,325,59,Maintenance,2131,1909.79375,221.20624999999995
41,Male,69.6,175.1,22.7,6.4,Moderate,3.1,83,361,66,Maintenance,2372,2465.08125,-93.08125000000018
22,Male,82.2,183.3,24.46,7.6,Sedentary,3.16,99,214,46,Weight Loss,1670,2235.15,-565.1500000000001
20,Male,65.7,177.0,20.99,6.4,Moderate,2.96,79,341,62,Maintenance,2242,2585.7875,-343.7874999999999
30,Female,66.1,171.2,22.55,6.4,Active,1.86,79,438,77,Maintenance,2761,2449.5,311.5
39,Male,73.3,177.2,23.35,7.7,Moderate,2.32,88,381,69,Maintenance,2501,2558.275,-57.27500000000009
35,Male,81.1,166.3,29.3,8.1,Active,2.1,130,562,102,Muscle Gain,3688,2898.6468750000004,789.3531249999996
45,Female,56.8,164.4,21.01,9.3,Active,3.04,68,283,52,Weight Loss,1874,2086.3875000000003,-212.38750000000027
36,Male,77.1,182.0,23.26,6.6,Moderate,2.81,92,306,59,Weight Loss,2127,2686.925,-559.9250000000002
59,Female,70.6,154.2,29.69,8.6,Moderate,3.81,113,395,75,Muscle Gain,2708,1881.3125,826.6875
29,Female,67.2,157.3,27.16,6.2,Active,1.45,81,446,78,Maintenance,2808,2327.240625,480.7593750000001
41,Female,59.1,159.3,23.32,6.6,Moderate,1.91,71,213,42,Weight Loss,1517,1891.96875,-374.96875
24,Male,72.0,190.5,19.85,8.0,Sedentary,2.8,86,270,53,Maintenance,1902,2154.75,-252.75
63,Male,66.8,178.2,21.05,6.1,Moderate,2.35,107,377,72,Muscle Gain,2579,2281.2125,297.7874999999999
50,Male,73.8,174.4,24.25,8.9,Moderate,1.96,118,410,78,Muscle Gain,2816,2453.65,362.3499999999999
31,Male,83.8,181.0,25.58,7.7,Active,3.34,101,462,83,Weight Loss,3001,3138.20625,-137.20625000000018
23,Male,76.7,161.7,29.33,7.5,Active,2.23,92,415,75,Weight Loss,2706,2876.6531250000003,-170.65312500000027
22,Female,73.4,167.5,26.18,6.7,Sedentary,2.0,117,302,62,Muscle Gain,2238,1811.85,426.1500000000001
42,Female,60.4,161.4,23.18,6.7,Sedentary,3.28,72,133,30,Weight Loss,1094,1490.1,-396.0999999999999
26,Female,61.9,158.8,24.53,7.7,Sedentary,2.36,99,264,54,Muscle Gain,1934,1584.6,349.4000000000001
28,Female,66.1,162.4,25.07,5.9,Active,2.78,79,345,63,Weight Loss,2264,2371.875,-107.875
36,Male,73.7,177.1,23.48,7.3,Active,2.2,88,395,72,Weight Loss,2580,2878.8093750000003,-298.8093750000003
41,Male,76.5,172.9,25.59,7.4,Moderate,2.95,92,397,72,Maintenance,2609,2550.71875,58.28125
56,Female,62.6,157.7,25.16,6.4,Moderate,2.1,100,356,68,Muscle Gain,2434,1814.46875,619.53125
21,Female,75.0,162.7,28.32,7.3,Sedentary,2.48,120,307,63,Muscle Gain,2280,1801.05,478.9500000000001
19,Male,67.6,174.6,22.2,6.6,Active,3.07,81,449,79,Maintenance,2827,2893.2562500000004,-66.25625000000036
28,Male,60.6,175.8,19.62,7.8,Sedentary,2.4,97,259,53,Muscle Gain,1900,1883.7,16.300000000000182
59,Female,47.4,174.1,15.62,9.5,Sedentary,2.59,57,178,35,Maintenance,1250,1327.35,-77.34999999999991
25,Female,68.1,163.8,25.38,7.0,Sedentary,3.21,82,255,50,Maintenance,1798,1702.5,95.5
62,Male,79.3,167.6,28.24,8.8,Active,2.61,95,526,92,Maintenance,3314,2648.7375,665.2624999999998
22,Female,60.1,164.9,22.11,5.9,Sedentary,2.08,96,258,52,Muscle Gain,1887,1632.75,254.25
29,Male,70.0,168.0,24.78,6.3,Moderate,1.49,112,392,75,Muscle Gain,2685,2495.5,189.5
40,Male,87.4,164.4,32.36,5.8,Active,3.09,105,580,102,Maintenance,3655,2943.7125,711.2874999999999
45,Female,66.0,156.5,26.97,6.7,Moderate,2.72,106,373,71,Muscle Gain,2552,1940.79375,611.20625
63,Male,77.2,177.4,24.53,6.6,Sedentary,1.93,124,315,65,Muscle Gain,2338,1884.9,453.10000000000014
53,Female,59.6,156.3,24.39,7.4,Moderate,2.15,95,342,65,Muscle Gain,2331,1777.65625,553.34375
59,Male,80.0,180.9,24.43,6.2,Active,3.55,96,531,93,Maintenance,3342,2830.078125,511.921875
53,Female,59.2,160.7,22.94,8.1,Sedentary,2.07,71,222,43,Maintenance,1563,1404.45,158.54999999999995
21,Male,62.3,166.6,22.43,5.4,Active,2.25,75,413,72,Maintenance,2603,2698.33125,-95.33125000000018
38,Male,77.4,168.5,27.25,7.7,Sedentary,3.84,124,315,65,Muscle Gain,2343,1970.55,372.4500000000001
29,Female,61.1,155.3,25.35,7.6,Moderate,3.1,73,224,44,Weight Loss,1584,1977.21875,-393.21875
45,Male,66.6,173.3,22.17,9.3,Moderate,2.55,80,346,63,Maintenance,2270,2370.14375,-100.14375000000018
42,Female,63.6,166.8,22.87,4.5,Sedentary,1.78,76,239,47,Maintenance,1680,1569.0,111.0
30,Female,63.0,169.0,22.06,5.5,Sedentary,2.34,101,267,55,Muscle Gain,1962,1650.3,311.70000000000005
58,Male,73.1,169.5,25.41,8.9,Moderate,2.47,88,286,55,Weight Loss,1991,2333.33125,-342.3312500000002
30,Male,67.9,185.4,19.76,7.7,Active,2.71,81,451,79,Maintenance,2838,2919.99375,-81.99375000000009
62,Female,66.6,159.7,26.1,7.9,Moderate,2.56,107,376,71,Muscle Gain,2571,1849.34375,721.65625
32,Male,90.1,171.3,30.69,6.7,Moderate,2.34,108,468,85,Maintenance,3071,2815.76875,255.23124999999985
19,Male,76.2,184.0,22.5,6.8,Active,2.12,122,531,97,Muscle Gain,3484,3142.9500000000003,341.0499999999997
48,Male,73.6,184.4,21.65,8.1,Sedentary,2.57,88,276,54,Maintenance,1943,1984.2,-41.19999999999982
20,Female,51.0,175.1,16.62,6.9,Moderate,2.33,61,171,34,Weight Loss,1238,2082.2312500000003,-844.2312500000003
51,Male,62.9,173.2,20.95,8.3,Sedentary,3.2,101,267,54,Muscle Gain,1959,1753.8,205.20000000000005
55,Male,87.0,175.8,28.16,7.0,Active,2.71,104,577,101,Maintenance,3635,2930.34375,704.65625
44,Female,50.4,151.4,21.99,5.6,Moderate,1.77,60,168,34,Weight Loss,1218,1657.3375,-439.3375000000001
23,Male,78.7,183.2,23.44,7.5,Active,1.48,94,429,77,Weight Loss,2790,3142.9500000000003,-352.9500000000003
30,Male,77.5,186.0,22.4,6.8,Active,2.26,93,514,90,Maintenance,3240,3092.0625,147.9375
28,Female,68.0,150.1,30.16,7.3,Moderate,2.95,82,259,51,Weight Loss,1818,2041.54375,-223.54375000000005
36,Female,51.8,159.3,20.41,7.3,Sedentary,2.73,62,194,38,Maintenance,1367,1407.15,-40.14999999999986
28,Male,75.8,170.3,26.14,6.1,Moderate,2.51,91,393,72,Maintenance,2583,2615.43125,-32.43125000000009
23,Female,72.1,151.4,31.47,9.7,Sedentary,2.37,87,177,39,Weight Loss,1403,1669.5,-266.5
31,Male,57.9,159.6,22.72,5.6,Moderate,2.98,69,301,55,Maintenance,1974,2211.0750000000003,-237.07500000000027
55,Male,82.9,181.2,25.25,8.1,Active,2.74,99,456,82,Weight Loss,2965,2917.8375,47.16249999999991
52,Female,66.1,167.7,23.5,7.4,Sedentary,2.2,79,154,35,Weight Loss,1245,1545.75,-300.75
26,Female,65.6,165.5,23.95,6.3,Moderate,2.43,79,247,48,Weight Loss,1737,2169.03125,-432.03125
20,Female,77.0,168.6,27.11,6.9,Moderate,1.69,92,306,59,Weight Loss,2127,2422.2625000000003,-295.2625000000003
43,Female,55.9,152.4,24.08,6.7,Sedentary,2.82,67,116,27,Weight Loss,976,1362.6,-386.5999999999999
18,Male,77.6,164.7,28.61,7.7,Sedentary,2.7,93,197,43,Weight Loss,1548,2064.45,-516.4499999999998
53,Female,63.5,158.1,25.41,8.1,Moderate,3.88,76,236,46,Weight Loss,1666,1855.54375,-189.54375000000005
35,Female,59.4,155.3,24.64,7.7,Active,2.97,95,427,77,Muscle Gain,2783,2119.378125,663.6218749999998
34,Female,71.0,156.8,28.86,7.3,Sedentary,2.6,85,266,52,Maintenance,1875,1630.8,244.20000000000005
23,Male,74.0,177.7,23.42,7.5,Sedentary,2.09,89,277,54,Maintenance,1953,2088.75,-135.75
41,Male,85.6,167.6,30.46,7.0,Sedentary,2.8,137,343,71,Muscle Gain,2559,2044.2,514.8000000000002
64,Male,66.7,177.0,21.27,8.6,Moderate,2.19,80,252,49,Weight Loss,1773,2260.2875,-487.2874999999999
55,Male,74.2,182.3,22.35,8.3,Sedentary,2.91,89,278,54,Maintenance,1960,1933.65,26.350000000000136
61,Female,55.9,171.3,19.06,7.0,Sedentary,2.0,89,244,49,Muscle Gain,1776,1396.35,379.6500000000001
63,Female,60.5,163.8,22.58,7.7,Active,2.36,97,434,79,Muscle Gain,2830,1988.49375,841.5062499999999
46,Female,61.7,165.2,22.59,7.4,Moderate,2.51,74,320,58,Maintenance,2103,1950.675,152.32500000000005
59,Male,80.9,179.7,25.06,4.8,Sedentary,2.63,97,210,45,Weight Loss,1636,1970.55,-334.54999999999995
30,Female,67.4,166.0,24.46,6.9,Moderate,1.68,81,350,64,Maintenance,2299,2170.775,128.2249999999999
43,Female,62.2,162.9,23.44,6.3,Sedentary,2.81,75,233,46,Maintenance,1642,1516.95,125.04999999999995
24,Female,54.0,164.0,20.09,8.6,Moderate,1.99,65,281,51,Maintenance,1843,1990.2,-147.20000000000005
64,Male,79.7,173.4,26.51,5.9,Moderate,2.42,127,438,84,Muscle Gain,3017,2426.9125,590.0875000000001
44,Female,72.0,157.8,28.92,5.7,Active,2.6,115,505,92,Muscle Gain,3310,2286.05625,1023.94375
23,Female,59.9,153.5,25.42,7.0,Sedentary,2.67,96,257,52,Muscle Gain,1880,1538.85,341.1500000000001
